id,latitude,longitude,accommodates,price,cleaning_fee,weekly_earnings
8287787,37.78552979,-122.4201104,4,$395.00 ,$150.00 ,1509.00
11105741,37.78941582,-122.4125778,3,$195.00 ,$25.00 ,794.00
14709338,37.78761213,-122.4083097,4,$145.00 ,$25.00 ,584.00
14472082,37.78720485,-122.4161402,2,$145.00 ,$50.00 ,559.00
11023714,37.78863867,-122.4123379,4,$695.00 ,,2919.00
17283877,37.7883736,-122.4138049,4,$270.00 ,,1134.00
17866378,37.78500489,-122.4127325,2,$95.00 ,,399.00
13823979,37.77725339,-122.4181188,2,$60.00 ,$65.00 ,187.00
472065,37.7877445,-122.4143478,8,$590.00 ,$200.00 ,2278.00
13284332,37.78728162,-122.411473,4,$195.00 ,,819.00
12111841,37.78739507,-122.408454,2,$110.00 ,$25.00 ,437.00
10912527,37.7776902,-122.4225517,2,$300.00 ,,1260.00
13343019,37.78828427,-122.4174649,2,$125.00 ,$50.00 ,475.00
17826181,37.78731093,-122.409033,2,$75.00 ,$25.00 ,290.00
8392607,37.77782746,-122.4223259,4,$900.00 ,,3780.00
12405624,37.78500286,-122.4162015,1,$66.00 ,$5.00 ,272.20
12780009,37.78736216,-122.4092255,2,$110.00 ,$25.00 ,437.00
16157577,37.78581796,-122.4148851,1,$70.00 ,$100.00 ,194.00
17211646,37.78654192,-122.4146897,1,$99.00 ,,415.80
16944449,37.78553624,-122.4078115,2,$70.00 ,$25.00 ,269.00
14012294,37.77768273,-122.4208402,2,$125.00 ,,525.00
17387395,37.78595987,-122.4141582,2,$70.00 ,,294.00
17993571,37.7879507,-122.4140248,2,$185.00 ,$49.00 ,728.00
16664786,37.78395412,-122.4153289,2,$100.00 ,,420.00
8558285,37.78918162,-122.4153664,2,$94.00 ,,394.80
12505522,37.78390503,-122.4119145,2,$175.00 ,$36.00 ,699.00
17042239,37.78521522,-122.4075859,2,$70.00 ,$25.00 ,269.00
17864659,37.78637067,-122.4128229,2,$70.00 ,,294.00
8288294,37.78724584,-122.4183162,4,$150.00 ,,630.00
17043285,37.78927913,-122.4119197,6,$300.00 ,,1260.00
16310925,37.785483,-122.4125526,4,$149.00 ,,625.80
13913910,37.78923898,-122.4117081,4,$360.00 ,$99.00 ,1413.00
17420087,37.7869127,-122.4116917,2,$93.00 ,,390.60
16548752,37.78269777,-122.4166354,2,$100.00 ,,420.00
8539905,37.78048313,-122.4214511,2,$140.00 ,,588.00
10636038,37.78786852,-122.4170699,2,$150.00 ,$50.00 ,580.00
6459085,37.78723292,-122.4166557,1,$150.00 ,,630.00
18008828,37.7849738,-122.4137167,2,$109.00 ,$65.00 ,392.80
17926899,37.78713357,-122.4156202,1,$45.00 ,$10.00 ,179.00
16549438,37.78368965,-122.4166889,2,$100.00 ,,420.00
