id,latitude,longitude,square_feet,price,review_scores_rating
4295657,37.75886312,-122.423116,,$300.00 ,100
224579,37.75631937,-122.404779,,$150.00 ,98
3042598,37.74852106,-122.4212581,,$126.00 ,87
9465129,37.75574133,-122.4115589,,$100.00 ,100
7351575,37.76012321,-122.4250197,,$99.00 ,98
6600081,37.75300435,-122.403943,,$85.00 ,99
7679171,37.75298744,-122.4242477,,$150.00 ,96
4730033,37.77002888,-122.4237134,,$255.00 ,94
13282475,37.75112586,-122.4230647,,$150.00 ,98
9350318,37.75498191,-122.4193609,,$65.00 ,87
10496718,37.75992683,-122.408211,,$300.00 ,
9759420,37.74905921,-122.4182666,,$700.00 ,93
14756524,37.7690889,-122.4239827,,$34.00 ,
6466197,37.75695181,-122.4116516,,$240.00 ,95
4614763,37.75300727,-122.4040496,,$175.00 ,98
15346313,37.75646678,-122.4164391,,$275.00 ,98
8670481,37.75349384,-122.4195855,,$600.00 ,98
15424616,37.75317766,-122.4244942,,$42.00 ,95
10136162,37.76052871,-122.4090437,,$225.00 ,
7350876,37.76108383,-122.425571,,$149.00 ,90
4155983,37.76848691,-122.4206638,,$125.00 ,99
17682872,37.74981207,-122.4150952,,$50.00 ,100
10365512,37.75769932,-122.4200553,,$115.00 ,
2665028,37.75781911,-122.4108124,,$165.00 ,99
16083525,37.75603488,-122.4112037,,$500.00 ,100
6924852,37.76673598,-122.4240911,,$120.00 ,100
10807858,37.74947188,-122.4185612,,$300.00 ,
3376895,37.74923178,-122.4190466,,$80.00 ,95
7481897,37.76117256,-122.4190939,,$108.00 ,
14948841,37.7572341,-122.4150385,,$650.00 ,98
17590812,37.76873486,-122.4245731,,$100.00 ,100
3385880,37.76952227,-122.4228934,,$250.00 ,93
7596529,37.75123663,-122.4104629,,$550.00 ,93
1223107,37.75862868,-122.4117893,450,$126.00 ,95
5007820,37.76485673,-122.4251007,,$341.00 ,89
6433637,37.74961855,-122.4209382,,$75.00 ,93
9857891,37.76867917,-122.4225395,,$275.00 ,99
10660277,37.76740115,-122.4224661,,$95.00 ,100
14969237,37.75186531,-122.4194602,,$140.00 ,100
27028,37.76097556,-122.4215808,2200,$199.00 ,94
8595828,37.7615163,-122.4082127,,$120.00 ,100
10513695,37.76215982,-122.420623,,$200.00 ,
16352294,37.75040546,-122.4110787,,$250.00 ,100
5253439,37.75783386,-122.4130874,,$33.00 ,96
3434710,37.75908236,-122.418195,,$120.00 ,100
8481021,37.75958899,-122.4218546,,$250.00 ,
9906403,37.7532297,-122.4248993,,$300.00 ,
1468637,37.75121152,-122.4077631,,$151.00 ,
14698527,37.76277859,-122.4240051,,$119.00 ,90
14185529,37.7501035,-122.414981,,$76.00 ,93
11528376,37.75136488,-122.4089685,,$100.00 ,
15509687,37.76070044,-122.4076222,,$98.00 ,100
4436956,37.75374293,-122.4034303,,$65.00 ,
9201794,37.76443752,-122.4074289,,$175.00 ,99
1863106,37.76724432,-122.4212892,,$79.00 ,95
17526405,37.76151096,-122.4220454,,$80.00 ,
16601533,37.76490477,-122.4239036,,$75.00 ,100
