ELEVATION,Long,Lat
25,-122.4504,37.71298
0,-122.4567,37.71300
15,-122.4610,37.71304
80,-122.4727,37.71306
0,-122.4514,37.71309
5,-122.4621,37.71310
30,-122.4739,37.71320
275,-122.4954,37.71324
205,-122.4752,37.71328
85,-122.5008,37.71330
40,-122.4178,37.71335
50,-122.4788,37.71337
0,-122.4211,37.71344
20,-122.4783,37.71347
185,-122.4756,37.71349
260,-122.4453,37.71351
-5,-122.4765,37.71352
175,-122.4572,37.71353
105,-122.4728,37.71355
100,-122.4976,37.71356
150,-122.4322,37.71357
5,-122.4583,37.71358
105,-122.4977,37.71359
155,-122.4729,37.71360
40,-122.4186,37.71361
180,-122.4730,37.71362
175,-122.4731,37.71363
400,-122.5164,37.71364
30,-122.4590,37.71365
40,-122.4717,37.71367
65,-122.4718,37.71368
40,-122.4150,37.71370
25,-122.4719,37.71371
0,-122.4622,37.71373
-5,-122.4623,37.71374
20,-122.4708,37.71375
0,-122.4624,37.71376
15,-122.4120,37.71377
10,-122.4611,37.71378
405,-122.5165,37.71379
20,-122.4612,37.71380
105,-122.4613,37.71381
0,-122.4614,37.71383
15,-122.4615,37.71384
15,-122.4228,37.71385
0,-122.4616,37.71386
-10,-122.4617,37.71387
25,-122.4618,37.71388
45,-122.4619,37.71390
0,-122.4596,37.71391
-5,-122.4597,37.71392
125,-122.4229,37.71394
0,-122.4373,37.71395
0,-122.4598,37.71396
150,-122.4599,37.71397
5,-122.4600,37.71398
0,-122.5138,37.71402
410,-122.5167,37.71403
40,-122.4212,37.71405
80,-122.5009,37.71406
5,-122.4766,37.71411
5,-122.4457,37.71418
85,-122.5118,37.71423
130,-122.4521,37.71440
65,-122.4757,37.71441
10,-122.4089,37.71452
0,-122.4515,37.71453
30,-122.4189,37.71457
125,-122.4348,37.71472
80,-122.4207,37.71475
10,-122.4773,37.71479
10,-122.5102,37.71483
5,-122.4213,37.71484
5,-122.4081,37.71485
15,-122.5103,37.71488
25,-122.4100,37.71489
5,-122.5104,37.71492
0,-122.4435,37.71499
10,-122.4078,37.71500
80,-122.5119,37.71502
20,-122.4169,37.71503
55,-122.4944,37.71504
140,-122.5121,37.71506
40,-122.4955,37.71507
115,-122.4895,37.71510
35,-122.4896,37.71512
345,-122.4885,37.71513
25,-122.4918,37.71514
5,-122.4886,37.71515
35,-122.4887,37.71516
20,-122.4888,37.71518
0,-122.4090,37.71522
20,-122.4051,37.71538
10,-122.5105,37.71542
15,-122.4161,37.71543
25,-122.5076,37.71551
0,-122.4058,37.71555
90,-122.4740,37.71556
85,-122.5067,37.71557
135,-122.5077,37.71558
10,-122.5122,37.71567
0,-122.4629,37.71569
-5,-122.4034,37.71573
0,-122.4630,37.71574
85,-122.4063,37.71580
85,-122.4845,37.71582
0,-122.4631,37.71586
0,-122.4601,37.71587
0,-122.4767,37.71588
5,-122.4829,37.71589
5,-122.4129,37.71591
5,-122.4602,37.71599
185,-122.3724,37.71604
155,-122.4111,37.71608
105,-122.5014,37.71609
-5,-122.4819,37.71610
105,-122.4794,37.71612
5,-122.4820,37.71615
90,-122.5040,37.71616
100,-122.4563,37.71617
-5,-122.4104,37.71620
0,-122.5041,37.71623
85,-122.3703,37.71625
65,-122.5053,37.71629
15,-122.4105,37.71636
110,-122.4072,37.71644
-5,-122.4064,37.71646
20,-122.3747,37.71648
315,-122.5042,37.71654
10,-122.3693,37.71657
45,-122.5054,37.71659
5,-122.5123,37.71665
10,-122.5124,37.71669
0,-122.4664,37.71702
245,-122.3765,37.71708
80,-122.4835,37.71714
15,-122.5171,37.71717
20,-122.4682,37.71725
55,-122.3766,37.71728
5,-122.4741,37.71736
0,-122.3758,37.71739
65,-122.4135,37.71740
50,-122.5125,37.71741
180,-122.3774,37.71747
215,-122.3777,37.71752
185,-122.3775,37.71756
10,-122.4439,37.71764
110,-122.5106,37.71765
115,-122.5060,37.71768
35,-122.4897,37.71772
120,-122.5061,37.71774
80,-122.3815,37.71788
15,-122.4632,37.71790
0,-122.4800,37.71793
300,-122.3842,37.71796
60,-122.4919,37.71798
200,-122.4543,37.71812
125,-122.4768,37.71816
35,-122.4190,37.71833
10,-122.4641,37.71853
10,-122.4806,37.71855
50,-122.4236,37.71856
150,-122.3673,37.71857
60,-122.4389,37.71865
10,-122.4688,37.71866
135,-122.3787,37.71875
5,-122.3821,37.71877
0,-122.4472,37.71880
0,-122.3596,37.71884
10,-122.4784,37.71885
105,-122.4665,37.71904
0,-122.3971,37.71916
30,-122.3973,37.71917
135,-122.5078,37.71920
55,-122.3884,37.71932
10,-122.3718,37.71940
5,-122.4367,37.71945
20,-122.4496,37.71946
10,-122.4281,37.71947
5,-122.4642,37.71958
205,-122.3753,37.71959
0,-122.4978,37.71965
70,-122.3662,37.71966
200,-122.3918,37.71970
0,-122.3789,37.71976
0,-122.4363,37.71987
0,-122.3926,37.71992
205,-122.3927,37.71993
-5,-122.4807,37.71998
85,-122.5079,37.71999
25,-122.3986,37.72002
100,-122.4393,37.72004
0,-122.4603,37.72010
10,-122.3838,37.72020
70,-122.5126,37.72023
235,-122.4440,37.72037
10,-122.4846,37.72040
0,-122.4469,37.72041
0,-122.4643,37.72045
205,-122.4275,37.72062
40,-122.3646,37.72063
15,-122.4282,37.72064
10,-122.4283,37.72065
0,-122.4573,37.72072
185,-122.4344,37.72079
30,-122.4004,37.72085
10,-122.4550,37.72089
0,-122.4847,37.72090
195,-122.4551,37.72095
15,-122.3976,37.72123
10,-122.4584,37.72143
95,-122.3713,37.72146
0,-122.4524,37.72147
-5,-122.3608,37.72149
50,-122.4956,37.72170
5,-122.4303,37.72189
200,-122.4374,37.72201
5,-122.4250,37.72211
20,-122.4489,37.72212
5,-122.4239,37.72213
360,-122.4868,37.72216
-5,-122.4251,37.72218
80,-122.4341,37.72220
40,-122.4774,37.72223
85,-122.4334,37.72230
100,-122.4294,37.72235
10,-122.4224,37.72273
10,-122.4284,37.72277
170,-122.4230,37.72279
15,-122.4683,37.72285
55,-122.4418,37.72304
5,-122.4231,37.72315
105,-122.3650,37.72318
100,-122.3686,37.72320
195,-122.3744,37.72330
-5,-122.4045,37.72343
115,-122.4052,37.72348
5,-122.4163,37.72356
0,-122.4327,37.72379
95,-122.3935,37.72382
170,-122.4732,37.72384
70,-122.5107,37.72388
170,-122.3704,37.72390
20,-122.3642,37.72396
110,-122.4195,37.72400
-5,-122.4382,37.72402
15,-122.3641,37.72403
10,-122.4458,37.72409
100,-122.4208,37.72435
30,-122.4040,37.72437
130,-122.4209,37.72439
-30,-122.3741,37.72442
45,-122.4478,37.72450
0,-122.4225,37.72457
0,-122.4445,37.72458
35,-122.4214,37.72459
180,-122.4401,37.72466
10,-122.4237,37.72468
15,-122.4238,37.72470
-5,-122.4232,37.72476
50,-122.4454,37.72482
200,-122.4240,37.72503
205,-122.4241,37.72504
120,-122.4291,37.72506
235,-122.4451,37.72513
20,-122.3941,37.72518
270,-122.3864,37.72541
165,-122.4262,37.72549
30,-122.3725,37.72555
0,-122.3726,37.72556
225,-122.3727,37.72557
5,-122.3719,37.72558
295,-122.3721,37.72559
5,-122.4968,37.72579
5,-122.4257,37.72583
20,-122.4898,37.72586
220,-122.3764,37.72587
110,-122.4215,37.72588
120,-122.4383,37.72589
325,-122.3752,37.72603
0,-122.4349,37.72610
5,-122.3833,37.72613
45,-122.3876,37.72622
15,-122.4166,37.72628
5,-122.4410,37.72629
60,-122.3936,37.72632
25,-122.4112,37.72634
115,-122.3844,37.72637
0,-122.4358,37.72645
15,-122.3954,37.72647
70,-122.3877,37.72650
60,-122.4082,37.72652
-5,-122.3865,37.72656
100,-122.3825,37.72657
-5,-122.4170,37.72661
5,-122.4085,37.72665
145,-122.3992,37.72668
45,-122.3953,37.72670
205,-122.3773,37.72681
225,-122.3919,37.72690
90,-122.3816,37.72691
95,-122.3849,37.72693
-5,-122.3895,37.72698
-5,-122.3993,37.72699
15,-122.3839,37.72708
5,-122.3920,37.72710
230,-122.3745,37.72715
-5,-122.4000,37.72716
110,-122.3834,37.72717
10,-122.3988,37.72722
0,-122.3921,37.72724
10,-122.3929,37.72726
-5,-122.3908,37.72727
90,-122.3734,37.72729
70,-122.3904,37.72732
-5,-122.3989,37.72734
0,-122.3611,37.72740
150,-122.3947,37.72746
30,-122.4083,37.72748
160,-122.3948,37.72749
80,-122.4074,37.72750
230,-122.3914,37.72754
15,-122.3942,37.72763
20,-122.3949,37.72766
180,-122.4059,37.72773
15,-122.4390,37.72774
160,-122.4030,37.72777
0,-122.3922,37.72779
105,-122.3826,37.72784
60,-122.3822,37.72786
5,-122.3823,37.72789
-5,-122.4091,37.72790
0,-122.3824,37.72792
220,-122.3778,37.72795
10,-122.4079,37.72797
220,-122.3915,37.72798
10,-122.3974,37.72800
250,-122.3785,37.72801
60,-122.3801,37.72806
30,-122.4490,37.72807
0,-122.3796,37.72808
110,-122.3969,37.72809
150,-122.3794,37.72811
5,-122.4019,37.72812
-5,-122.4001,37.72814
65,-122.4002,37.72817
30,-122.4113,37.72818
220,-122.3728,37.72819
-5,-122.3943,37.72826
45,-122.3671,37.72829
0,-122.3694,37.72837
35,-122.3930,37.72838
35,-122.3934,37.72841
30,-122.3632,37.72842
0,-122.3788,37.72846
0,-122.4696,37.72848
260,-122.3690,37.72850
40,-122.3866,37.72853
25,-122.3698,37.72854
20,-122.3614,37.72856
210,-122.3786,37.72858
-5,-122.3644,37.72862
280,-122.3867,37.72863
140,-122.3676,37.72864
10,-122.4140,37.72872
10,-122.3970,37.72875
10,-122.4141,37.72876
0,-122.3573,37.72878
20,-122.4142,37.72879
-5,-122.3571,37.72882
40,-122.4136,37.72885
20,-122.3979,37.72887
15,-122.4065,37.72894
0,-122.3984,37.72897
10,-122.4066,37.72898
-5,-122.4008,37.72902
5,-122.3981,37.72903
70,-122.3892,37.72904
5,-122.3990,37.72905
-5,-122.4191,37.72907
170,-122.4151,37.72921
50,-122.3840,37.72929
-5,-122.3835,37.72931
60,-122.3606,37.72936
-5,-122.4647,37.72942
5,-122.5146,37.72946
115,-122.4292,37.72949
140,-122.3887,37.72953
-5,-122.3609,37.72954
15,-122.4149,37.72957
165,-122.4585,37.72959
165,-122.3779,37.72963
0,-122.4080,37.72969
145,-122.4359,37.72973
85,-122.4497,37.72974
135,-122.3991,37.72977
0,-122.3836,37.72980
90,-122.3950,37.72983
10,-122.4429,37.72986
-5,-122.3995,37.72991
-5,-122.4350,37.72998
10,-122.5127,37.73003
60,-122.4836,37.73008
20,-122.4196,37.73009
5,-122.4234,37.73014
125,-122.4269,37.73022
0,-122.4075,37.73023
25,-122.3827,37.73024
-5,-122.5108,37.73025
130,-122.4310,37.73026
175,-122.4485,37.73027
15,-122.4337,37.73028
15,-122.3931,37.73036
50,-122.4936,37.73037
120,-122.4054,37.73039
5,-122.4304,37.73040
5,-122.3928,37.73042
175,-122.3923,37.73044
15,-122.4003,37.73045
10,-122.4305,37.73049
110,-122.3972,37.73051
10,-122.4130,37.73054
25,-122.4114,37.73056
15,-122.3937,37.73057
5,-122.4092,37.73058
15,-122.4115,37.73060
0,-122.4106,37.73063
30,-122.4096,37.73064
210,-122.4242,37.73065
20,-122.4101,37.73067
30,-122.4416,37.73068
0,-122.4876,37.73070
150,-122.4020,37.73074
155,-122.4021,37.73076
115,-122.4203,37.73079
-5,-122.4171,37.73082
195,-122.3932,37.73083
10,-122.4172,37.73086
-5,-122.4380,37.73089
0,-122.4012,37.73090
5,-122.4173,37.73091
50,-122.4174,37.73095
110,-122.4620,37.73098
10,-122.4022,37.73100
65,-122.4023,37.73108
75,-122.3955,37.73115
-5,-122.3956,37.73116
0,-122.4026,37.73119
95,-122.4093,37.73120
225,-122.4394,37.73125
5,-122.4406,37.73136
40,-122.4005,37.73141
30,-122.4311,37.73142
100,-122.3896,37.73143
85,-122.4204,37.73147
15,-122.3965,37.73153
0,-122.3790,37.73154
10,-122.4801,37.73155
0,-122.4107,37.73163
0,-122.4220,37.73164
5,-122.4299,37.73165
5,-122.3960,37.73167
165,-122.3945,37.73170
-5,-122.4086,37.73171
5,-122.4342,37.73176
195,-122.4375,37.73177
305,-122.3748,37.73178
-5,-122.4017,37.73180
15,-122.4137,37.73185
165,-122.4035,37.73188
100,-122.4070,37.73189
140,-122.3699,37.73194
0,-122.4009,37.73197
205,-122.4395,37.73198
135,-122.3888,37.73204
30,-122.3862,37.73207
5,-122.3868,37.73210
210,-122.4407,37.73218
65,-122.3893,37.73219
250,-122.4384,37.73220
55,-122.4138,37.73226
50,-122.4604,37.73229
145,-122.3957,37.73231
5,-122.4411,37.73233
65,-122.4417,37.73234
95,-122.3897,37.73236
15,-122.4192,37.73239
110,-122.4808,37.73240
130,-122.3857,37.73245
150,-122.5109,37.73251
5,-122.4328,37.73253
5,-122.4419,37.73254
5,-122.4121,37.73255
290,-122.3881,37.73259
155,-122.4046,37.73264
15,-122.4084,37.73265
135,-122.3869,37.73266
80,-122.3967,37.73270
50,-122.3885,37.73272
115,-122.4351,37.73273
70,-122.4205,37.73274
0,-122.4670,37.73275
110,-122.4352,37.73276
435,-122.5068,37.73277
20,-122.4097,37.73278
85,-122.4353,37.73279
70,-122.4653,37.73282
15,-122.4094,37.73286
15,-122.4287,37.73289
170,-122.4041,37.73290
0,-122.4910,37.73291
10,-122.4285,37.73292
5,-122.4671,37.73293
0,-122.4697,37.73294
25,-122.4197,37.73297
10,-122.4376,37.73298
95,-122.3961,37.73300
-5,-122.4013,37.73301
55,-122.4143,37.73304
-5,-122.5062,37.73305
0,-122.4329,37.73306
15,-122.4300,37.73312
45,-122.4233,37.73313
25,-122.3939,37.73315
170,-122.4338,37.73325
20,-122.4010,37.73332
0,-122.4385,37.73334
265,-122.4465,37.73336
-5,-122.4067,37.73338
5,-122.4420,37.73346
40,-122.3933,37.73347
90,-122.4360,37.73350
0,-122.4479,37.73351
105,-122.4218,37.73364
0,-122.4364,37.73365
35,-122.4006,37.73369
0,-122.4430,37.73371
0,-122.4505,37.73376
-5,-122.4031,37.73378
-5,-122.4999,37.73379
-5,-122.4047,37.73380
0,-122.4014,37.73381
5,-122.4720,37.73382
40,-122.5139,37.73383
10,-122.4095,37.73384
5,-122.4312,37.73390
215,-122.4243,37.73401
0,-122.4848,37.73408
0,-122.4055,37.73410
250,-122.4402,37.73411
5,-122.4516,37.73413
15,-122.4131,37.73421
175,-122.4139,37.73423
135,-122.4122,37.73426
0,-122.4877,37.73427
150,-122.4042,37.73429
-5,-122.4878,37.73432
45,-122.4087,37.73434
75,-122.4206,37.73436
35,-122.4904,37.73437
50,-122.4377,37.73440
-5,-122.4132,37.73441
10,-122.4043,37.73442
0,-122.4979,37.73445
10,-122.4355,37.73452
-5,-122.4365,37.73453
0,-122.4689,37.73454
15,-122.4076,37.73457
15,-122.4258,37.73465
240,-122.4879,37.73467
0,-122.4027,37.73468
-5,-122.4011,37.73471
15,-122.4144,37.73474
60,-122.4263,37.73476
10,-122.4316,37.73477
20,-122.4179,37.73479
20,-122.4992,37.73481
220,-122.4425,37.73484
125,-122.4278,37.73485
5,-122.4290,37.73486
5,-122.4368,37.73489
10,-122.4244,37.73497
95,-122.4969,37.73498
0,-122.4221,37.73500
15,-122.4957,37.73502
20,-122.3994,37.73503
15,-122.4332,37.73507
40,-122.4830,37.73511
5,-122.4317,37.73514
130,-122.5000,37.73515
15,-122.4007,37.73516
5,-122.4491,37.73523
20,-122.4264,37.73527
-5,-122.4259,37.73531
0,-122.4436,37.73532
65,-122.4260,37.73534
180,-122.4345,37.73538
0,-122.4346,37.73541
0,-122.4198,37.73544
0,-122.4306,37.73551
5,-122.4028,37.73552
85,-122.4199,37.73555
15,-122.4862,37.73556
0,-122.4660,37.73558
5,-122.4466,37.73567
30,-122.4124,37.73569
0,-122.4088,37.73571
135,-122.4586,37.73575
10,-122.4654,37.73576
220,-122.4276,37.73581
75,-122.4446,37.73586
0,-122.4029,37.73594
105,-122.4187,37.73597
45,-122.4802,37.73608
0,-122.4266,37.73609
295,-122.5010,37.73611
125,-122.4498,37.73614
200,-122.4455,37.73616
5,-122.4467,37.73619
120,-122.4053,37.73621
35,-122.4219,37.73624
145,-122.4267,37.73625
15,-122.4443,37.73632
0,-122.4125,37.73635
175,-122.4339,37.73642
0,-122.4098,37.73646
5,-122.4099,37.73647
70,-122.4147,37.73650
-5,-122.4684,37.73654
125,-122.3996,37.73656
250,-122.4421,37.73658
120,-122.4270,37.73659
130,-122.4152,37.73663
10,-122.5147,37.73665
165,-122.4277,37.73673
45,-122.4116,37.73675
0,-122.4307,37.73677
185,-122.4167,37.73679
165,-122.4396,37.73680
55,-122.4271,37.73683
60,-122.4452,37.73692
5,-122.4330,37.73693
15,-122.4286,37.73694
25,-122.4164,37.73696
45,-122.4272,37.73698
175,-122.4156,37.73714
90,-122.4200,37.73715
35,-122.4159,37.73716
0,-122.4245,37.73719
0,-122.4246,37.73720
45,-122.3940,37.73724
40,-122.3966,37.73744
225,-122.4486,37.73747
20,-122.4993,37.73749
-5,-122.3958,37.73751
300,-122.4994,37.73755
5,-122.4255,37.73757
160,-122.4261,37.73758
100,-122.4324,37.73765
145,-122.4201,37.73766
-5,-122.4252,37.73768
185,-122.4447,37.73770
60,-122.4459,37.73775
5,-122.4318,37.73777
0,-122.4180,37.73779
0,-122.4412,37.73780
140,-122.4301,37.73781
30,-122.3830,37.73788
200,-122.4193,37.73791
25,-122.3980,37.73794
180,-122.3946,37.73802
-5,-122.4048,37.73805
60,-122.4157,37.73807
20,-122.5019,37.73811
185,-122.3909,37.73812
5,-122.4253,37.73816
250,-122.4506,37.73822
290,-122.4980,37.73827
10,-122.4049,37.73828
70,-122.4354,37.73837
75,-122.5055,37.73841
35,-122.3985,37.73845
0,-122.4279,37.73848
95,-122.4325,37.73851
-5,-122.4333,37.73868
0,-122.4036,37.73869
140,-122.4587,37.73874
-5,-122.4356,37.73875
30,-122.5020,37.73881
120,-122.4423,37.73887
195,-122.4175,37.73889
10,-122.4378,37.73890
105,-122.3977,37.73897
20,-122.4060,37.73913
180,-122.4162,37.73922
0,-122.5011,37.73927
0,-122.4552,37.73931
255,-122.4758,37.73932
0,-122.4553,37.73939
0,-122.3959,37.73944
250,-122.4911,37.73949
25,-122.3963,37.73961
10,-122.4302,37.73974
105,-122.4145,37.73978
135,-122.4347,37.73991
260,-122.4759,37.73992
50,-122.5001,37.74005
20,-122.4015,37.74006
130,-122.3978,37.74018
80,-122.4194,37.74029
15,-122.4308,37.74031
65,-122.3817,37.74046
105,-122.4480,37.74061
5,-122.4789,37.74065
160,-122.4698,37.74076
15,-122.4148,37.74080
15,-122.4102,37.74114
10,-122.4588,37.74122
0,-122.5080,37.74126
0,-122.4366,37.74134
0,-122.4326,37.74138
60,-122.4672,37.74143
5,-122.4061,37.74147
115,-122.4071,37.74149
190,-122.4361,37.74154
165,-122.4032,37.74167
-5,-122.4062,37.74177
40,-122.4056,37.74178
0,-122.4057,37.74183
75,-122.4077,37.74187
5,-122.4790,37.74198
175,-122.4340,37.74227
-5,-122.4117,37.74230
25,-122.4133,37.74232
170,-122.4134,37.74235
140,-122.4123,37.74237
0,-122.4126,37.74238
70,-122.4127,37.74241
245,-122.4760,37.74273
15,-122.4108,37.74280
10,-122.4945,37.74302
75,-122.4946,37.74303
65,-122.4958,37.74304
135,-122.4499,37.74313
0,-122.4103,37.74317
240,-122.4460,37.74321
310,-122.4937,37.74324
0,-122.4591,37.74326
5,-122.4656,37.74336
10,-122.4118,37.74344
85,-122.3968,37.74345
70,-122.4694,37.74368
40,-122.4947,37.74401
150,-122.4343,37.74408
-5,-122.4037,37.74418
10,-122.4319,37.74421
5,-122.4050,37.74425
10,-122.4473,37.74451
115,-122.4293,37.74458
100,-122.4666,37.74461
0,-122.4273,37.74462
35,-122.4704,37.74471
-5,-122.4357,37.74472
40,-122.4188,37.74475
5,-122.3975,37.74478
285,-122.4981,37.74480
30,-122.4633,37.74484
55,-122.4970,37.74503
175,-122.4437,37.74507
20,-122.4492,37.74512
240,-122.4369,37.74515
25,-122.4938,37.74517
155,-122.3951,37.74541
190,-122.4176,37.74549
0,-122.4033,37.74561
200,-122.4408,37.74562
35,-122.4920,37.74580
60,-122.5002,37.74589
10,-122.5091,37.74592
130,-122.3997,37.74600
30,-122.4939,37.74619
50,-122.4153,37.74622
115,-122.4487,37.74635
40,-122.4160,37.74636
0,-122.4921,37.74662
255,-122.4922,37.74664
80,-122.4928,37.74667
10,-122.4657,37.74670
30,-122.4699,37.74673
35,-122.4154,37.74675
5,-122.4554,37.74682
-5,-122.4507,37.74684
5,-122.4265,37.74690
0,-122.4386,37.74694
70,-122.4128,37.74708
160,-122.4500,37.74752
35,-122.4501,37.74757
5,-122.4905,37.74768
260,-122.4912,37.74770
0,-122.4685,37.74778
30,-122.5129,37.74785
320,-122.4880,37.74788
180,-122.4555,37.74789
405,-122.4913,37.74794
110,-122.5043,37.74795
10,-122.4914,37.74798
10,-122.4673,37.74829
-5,-122.4379,37.74838
25,-122.4481,37.74855
5,-122.4889,37.74866
55,-122.4906,37.74871
0,-122.4018,37.74872
-5,-122.4929,37.74895
445,-122.5081,37.74899
55,-122.5130,37.74903
20,-122.5149,37.74942
235,-122.4907,37.74947
-10,-122.4863,37.74968
30,-122.4890,37.74972
0,-122.4791,37.74994
365,-122.4869,37.75014
-5,-122.4482,37.75035
420,-122.5069,37.75061
30,-122.4705,37.75065
0,-122.4821,37.75077
440,-122.5082,37.75083
0,-122.4038,37.75112
80,-122.4431,37.75113
25,-122.4891,37.75116
40,-122.4899,37.75119
385,-122.4857,37.75124
165,-122.4320,37.75125
50,-122.4634,37.75136
0,-122.4785,37.75142
45,-122.4837,37.75149
200,-122.5092,37.75175
430,-122.5070,37.75176
5,-122.4900,37.75184
220,-122.5093,37.75185
450,-122.5110,37.75186
45,-122.5056,37.75207
375,-122.4923,37.75208
5,-122.4288,37.75209
35,-122.5003,37.75212
20,-122.4940,37.75215
5,-122.4941,37.75227
75,-122.5063,37.75242
5,-122.4822,37.75243
25,-122.4971,37.75249
225,-122.4948,37.75290
370,-122.4870,37.75300
30,-122.5004,37.75301
-5,-122.4313,37.75312
160,-122.4323,37.75317
375,-122.4871,37.75319
-5,-122.4709,37.75322
30,-122.4803,37.75336
85,-122.4809,37.75337
35,-122.4710,37.75338
40,-122.4742,37.75340
10,-122.4314,37.75347
10,-122.4949,37.75353
40,-122.4963,37.75354
15,-122.4823,37.75361
85,-122.4743,37.75362
45,-122.4942,37.75366
35,-122.4539,37.75371
0,-122.4391,37.75372
10,-122.4915,37.75373
5,-122.4950,37.75376
10,-122.4901,37.75379
270,-122.4924,37.75380
0,-122.4677,37.75384
20,-122.5005,37.75389
315,-122.4930,37.75392
15,-122.4902,37.75395
25,-122.5012,37.75397
75,-122.5044,37.75420
205,-122.4544,37.75429
175,-122.4309,37.75439
35,-122.5006,37.75448
50,-122.4987,37.75459
75,-122.4972,37.75471
85,-122.5021,37.75483
70,-122.4959,37.75486
65,-122.4872,37.75496
10,-122.4674,37.75501
100,-122.5022,37.75504
10,-122.4247,37.75520
140,-122.5094,37.75521
75,-122.4925,37.75532
0,-122.4545,37.75546
5,-122.4838,37.75548
130,-122.4248,37.75558
25,-122.4249,37.75568
-10,-122.4625,37.75575
10,-122.4254,37.75594
0,-122.4831,37.75598
80,-122.5140,37.75613
15,-122.4832,37.75618
135,-122.5083,37.75621
100,-122.5150,37.75625
95,-122.5155,37.75626
145,-122.5172,37.75627
10,-122.5084,37.75628
280,-122.4982,37.75643
55,-122.4605,37.75647
195,-122.4387,37.75652
5,-122.5131,37.75660
25,-122.4362,37.75678
75,-122.4370,37.75684
105,-122.4397,37.75686
65,-122.4331,37.75689
0,-122.5057,37.75693
255,-122.4388,37.75694
-5,-122.4381,37.75695
0,-122.5045,37.75704
15,-122.5173,37.75711
130,-122.5156,37.75715
0,-122.4644,37.75725
30,-122.4574,37.75729
90,-122.5058,37.75730
115,-122.5157,37.75735
0,-122.4839,37.75745
75,-122.4678,37.75746
95,-122.5132,37.75748
80,-122.5023,37.75749
230,-122.4441,37.75763
245,-122.4371,37.75764
20,-122.5095,37.75765
5,-122.4335,37.75769
145,-122.5111,37.75777
100,-122.4840,37.75780
25,-122.4529,37.75786
25,-122.4810,37.75788
215,-122.4442,37.75791
0,-122.4540,37.75802
30,-122.4556,37.75811
105,-122.4960,37.75835
115,-122.4639,37.75851
55,-122.4804,37.75852
80,-122.4995,37.75874
20,-122.5112,37.75875
220,-122.4448,37.75878
225,-122.4449,37.75879
